日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:53:39,1709103219,393138068.037333,间隔于 1 & 2,0
2024-02-28 14:53:40,1709103220,393138069.037333,间隔于 1 & 2,0
2024-02-28 14:53:41,1709103221,393138070.037333,间隔于 1 & 2,0
2024-02-28 14:53:42,1709103222,393138071.037333,间隔于 1 & 2,0
2024-02-28 14:53:43,1709103223,393138072.037333,间隔于 1 & 2,0
2024-02-28 14:53:44,1709103224,393138073.037333,间隔于 1 & 2,0
2024-02-28 14:53:45,1709103225,393138074.037333,间隔于 1 & 2,0
2024-02-28 14:53:46,1709103226,393138075.037333,间隔于 1 & 2,0
2024-02-28 14:53:47,1709103227,393138076.037333,间隔于 1 & 2,0
2024-02-28 14:53:48,1709103228,393138077.037333,间隔于 1 & 2,0
2024-02-28 14:53:49,1709103229,393138078.037333,间隔于 1 & 2,0
2024-02-28 14:53:50,1709103230,393138079.037333,间隔于 1 & 2,0
2024-02-28 14:53:51,1709103231,393138080.037333,间隔于 1 & 2,0
2024-02-28 14:53:52,1709103232,393138081.037333,间隔于 1 & 2,0
2024-02-28 14:53:53,1709103233,393138082.037333,间隔于 1 & 2,0
2024-02-28 14:53:54,1709103234,393138083.037333,间隔于 1 & 2,0
2024-02-28 14:53:55,1709103235,393138084.037333,间隔于 1 & 2,0
2024-02-28 14:53:56,1709103236,393138085.037333,间隔于 1 & 2,0
2024-02-28 14:53:57,1709103237,393138086.037333,间隔于 1 & 2,0
2024-02-28 14:53:58,1709103238,393138087.037333,间隔于 1 & 2,0
2024-02-28 14:53:59,1709103239,393138088.037333,间隔于 1 & 2,0
2024-02-28 14:54:00,1709103240,393138089.037333,间隔于 1 & 2,0
2024-02-28 14:54:01,1709103241,393138090.037333,间隔于 1 & 2,0
2024-02-28 14:54:02,1709103242,393138091.037333,间隔于 1 & 2,0
2024-02-28 14:54:03,1709103243,393138092.037333,间隔于 1 & 2,0
2024-02-28 14:54:04,1709103244,393138093.037333,间隔于 1 & 2,0
2024-02-28 14:54:05,1709103245,393138094.037333,间隔于 1 & 2,0
2024-02-28 14:54:06,1709103246,393138095.037333,间隔于 1 & 2,0
2024-02-28 14:54:07,1709103247,393138096.037333,间隔于 1 & 2,0
